2275 116617
2 1922 8
2 629 3
1 170 1421
1 31 233
1 429 1182
2 22 3
2 1725 4
2 554 10
2 1771 5
2 803 8
1 346 903
2 919 6
2 1024 10
2 718 3
2 588 5
1 1670 1748
1 191 834
2 1635 9
2 1545 8
1 709 1383
2 974 1
1 1894 1928
1 68 1482
1 812 1298
1 475 1769
2 1444 1
2 266 3
1 161 565
2 991 9
1 1000 1397
2 1697 4
1 358 1589
2 701 4
1 10 1883
1 184 1054
2 1706 4
1 403 659
2 258 1
2 550 6
1 579 606
1 305 1591
1 36 1310
1 1291 1713
1 478 1597
2 2122 8
2 1671 8
1 894 1378
2 1075 8
2 1529 7
1 1149 1517
1 1296 1787
2 366 3
2 1072 9
1 781 1032
1 632 1413
2 757 5
2 2156 6
1 238 1514
1 856 1728
1 871 1858
2 1228 10
2 900 9
1 1860 1909
2 577 6
1 2176 2242
2 505 9
1 1903 2014
2 1115 4
1 353 840
2 1505 3
2 2159 3
2 2196 3
2 1880 5
1 913 1397
1 606 1938
1 114 1715
1 38 755
1 167 168
2 986 4
1 275 1712
1 1487 1709
1 1626 1912
2 1018 2
1 1503 1588
2 714 4
1 1563 2190
2 1822 3
2 1495 5
1 1304 1451
2 189 2
1 1389 1858
2 1074 9
1 1378 2078
1 198 1333
1 432 2266
2 1075 3
1 555 1926
2 1814 4
2 1704 1
2 604 5
2 143 3
2 818 6
2 236 9
2 2011 6
2 1118 7
2 1419 5
2 1380 6
1 123 1609
2 422 5
1 1075 1119
1 1372 1870
1 1788 2067
1 1032 1653
1 979 2007
1 1077 2083
2 971 4
2 1475 3
2 747 9
1 1632 1714
2 282 3
1 1336 1848
1 784 796
2 1327 2
2 788 4
1 1233 1714
1 1374 1857
2 830 3
1 114 2196
1 1070 1748
1 1908 2265
1 15 1241
1 821 1559
1 1920 2262
1 1260 1802
2 1039 10
1 36 1719
2 236 7
1 280 1797
2 87 4
2 1989 6
1 1167 1931
2 1873 4
1 26 2056
1 930 2164
2 1328 7
2 961 8
1 557 623
2 2238 7
1 771 1120
2 971 9
2 892 10
1 1357 1943
1 67 1027
2 2116 2
2 489 5
1 812 1840
2 533 6
2 870 1
1 363 1609
2 1366 4
2 796 8
2 879 7
2 927 6
2 5 10
1 960 1125
1 237 1043
1 1379 1645
1 107 1120
2 1250 8
2 426 5
2 2120 4
2 1740 8
1 1354 1813
1 912 1014
1 162 1555
2 1643 2
1 693 736
1 1273 1758
2 1227 2
2 1235 7
2 1669 10
1 1074 1158
2 2185 9
1 1951 2163
1 66 1520
2 2207 9
1 363 2239
1 662 1772
1 565 836
1 471 1344
2 9 10
1 1772 1950
1 384 1281
1 124 1369
2 1061 10
1 493 1986
2 945 2
1 290 2020
1 513 1862
1 1150 1996
2 242 3
1 633 867
1 590 1302
2 1599 8
1 858 1858
1 197 421
1 1302 1967
1 248 617
1 327 550
1 409 1899
1 1495 1694
1 62 1800
1 732 918
1 1898 2046
1 797 1145
2 1918 9
2 935 4
1 1097 2092
2 1049 7
1 1553 1792
2 1159 3
1 733 946
1 1209 1968
2 1808 5
2 2158 5
2 2109 10
2 395 1
1 1094 2145
1 124 1634
1 271 1238
2 588 4
1 1586 2095
1 645 1279
1 1166 1614
2 673 7
2 1604 5
2 1486 6
2 656 10
1 1085 2177
1 1058 2084
1 129 302
2 731 1
2 2041 9
1 612 1936
2 2270 5
1 648 1842
1 1365 1917
2 2046 5
2 1019 10
2 539 4
2 284 10
2 33 6
2 1379 6
1 1640 1646
2 268 6
1 568 1357
1 942 2243
2 1520 3
2 1372 4
1 573 1442
1 669 1846
2 1599 3
2 652 7
1 379 532
2 2040 2
1 631 1842
1 447 1434
2 2155 8
2 1586 6
2 1 5
1 1161 1849
2 122 9
1 1448 1559
2 1716 2
1 745 1524
1 363 967
2 1482 6
1 890 1945
1 71 610
2 349 6
1 251 835
2 2177 7
2 759 4
2 161 4
1 873 1484
2 742 4
2 1559 9
2 1246 5
1 1537 2122
1 1620 1698
1 1093 2059
2 2237 4
1 248 502
1 310 973
1 85 1493
2 1280 2
1 5 1398
1 411 2205
1 1205 1296
1 1363 1466
2 221 1
1 907 945
1 356 655
2 1184 9
1 418 1620
2 717 3
1 711 1201
1 136 889
2 1413 7
1 301 1710
1 32 982
2 456 7
1 553 1005
1 178 538
1 998 1548
2 2101 5
1 707 1465
2 235 8
1 330 1201
1 870 1060
2 1771 3
2 2244 7
1 686 2022
1 1614 2022
1 927 1963
2 1137 5
2 2051 9
1 1000 1850
1 931 1888
2 137 6
1 216 609
1 299 1662
2 247 5
1 926 2122
1 55 1454
1 142 821
1 682 1588
2 1373 3
1 503 1919
2 1436 8
2 1152 3
2 447 3
2 363 4
2 43 9
2 2108 1
2 1835 10
1 1074 1534
1 1376 1943
1 525 1007
2 859 5
1 515 1859
1 1849 2158
2 948 5
1 330 526
2 1437 5
2 1775 7
2 525 1
1 564 1727
2 1142 2
2 2149 5
2 2238 8
2 1048 8
2 1212 5
2 104 2
1 758 2147
2 1077 6
1 1013 2184
2 1081 1
2 199 10
2 1021 2
2 1978 7
2 1934 5
2 268 3
1 173 2275
2 1428 3
1 1304 1795
2 819 6
2 223 6
2 97 4
2 511 1
1 1566 1904
1 9 1706
1 639 878
1 303 1936
2 1111 1
2 418 9
2 465 4
2 2109 6
2 2178 6
2 1750 10
2 75 4
1 1594 2132
1 537 1103
2 92 1
1 588 2054
1 931 2143
1 491 719
2 981 4
1 609 1313
1 1000 1636
2 2119 7
2 856 7
1 852 1343
1 336 1865
2 1340 4
2 1600 9
2 1288 10
2 1915 3
2 1055 6
2 762 9
1 11 666
2 376 10
2 1687 1
1 1422 1968
2 973 3
1 1108 2246
2 1022 4
2 1341 3
2 933 10
2 233 10
2 170 6
1 103 287
1 312 880
2 623 10
1 50 1147
2 2147 3
2 1198 4
1 938 2258
1 1173 1933
2 2126 1
2 328 3
1 49 624
2 2067 7
2 1852 1
2 886 9
1 1750 1878
1 702 799
1 1237 1948
1 1373 2067
1 1450 1507
2 2246 8
1 102 1398
2 638 1
1 1211 2148
2 768 7
2 1858 6
2 49 5
1 1258 1927
2 2007 6
2 488 5
2 821 5
1 661 983
1 1042 1779
2 1755 7
2 1999 9
1 1465 1531
2 971 8
2 1017 6
2 28 7
2 362 1
2 2118 1
1 453 472
2 1294 9
1 310 885
2 1692 10
2 113 2
2 1866 4
2 1943 6
2 2045 7
2 863 6
1 736 1696
1 98 883
1 821 1521
2 1486 6
1 153 1733
1 845 1741
2 2251 5
2 1788 3
1 319 579
1 1581 2227
1 758 1305
1 550 1482
1 598 1507
2 919 1
2 1717 8
1 1516 1735
2 1799 5
2 472 8
1 984 1660
1 689 1449
2 888 7
2 1572 5
1 1120 1603
2 1014 3
1 766 1998
2 1987 1
2 134 10
1 175 313
1 358 1501
2 1871 5
1 746 1737
2 2139 4
2 2117 9
2 805 7
1 406 1149
1 1134 2092
2 1788 10
1 28 219
1 173 1709
2 748 9
1 748 1558
2 2135 6
2 1616 2
2 958 7
2 897 2
1 98 1243
1 982 991
2 1103 10
1 850 873
2 1650 2
1 1275 1370
1 256 1895
2 1651 3
2 1013 5
2 803 5
2 1492 1
1 616 1026
1 168 1968
1 244 2008
1 799 1944
1 776 1726
1 848 1695
1 887 1923
2 2189 8
1 266 2191
2 625 6
1 405 2074
1 572 1540
2 479 7
1 260 1804
2 419 5
1 1677 2209
2 812 1
2 1214 2
2 1549 1
1 448 933
1 1095 1306
2 670 5
2 1599 4
1 986 1249
2 294 4
1 253 2037
2 2225 4
2 652 8
2 1556 10
1 728 2186
1 598 1867
2 1436 9
2 907 6
1 949 2156
2 1176 9
1 505 1704
2 482 4
2 1266 10
2 1794 2
2 1512 3
1 542 1456
2 28 3
2 457 8
1 1280 2143
1 1901 2163
1 18 1786
1 489 1845
1 238 415
2 781 9
2 181 3
2 504 4
2 569 7
2 1113 6
1 766 2143
1 204 1644
2 1919 3
2 1396 10
1 1357 2124
1 763 1096
2 1122 2
2 159 9
1 1173 1174
2 539 9
2 1153 7
1 471 623
1 132 693
1 295 1997
1 5 129
2 184 1
2 502 8
1 1165 1621
2 538 5
1 656 1313
2 712 6
2 2229 6
1 1121 1369
2 266 4
1 388 2186
1 212 689
1 233 918
2 385 2
2 1685 5
2 1294 4
1 990 1498
2 2177 5
1 157 604
2 1921 6
2 1005 9
2 1196 8
1 1119 1379
2 861 4
2 8 1
1 994 1004
1 639 720
1 446 500
1 130 759
1 317 884
1 1014 1102
2 1722 3
1 897 1207
2 2172 3
1 1406 2072
2 281 10
1 225 394
1 191 488
1 961 1320
2 1234 7
2 607 3
1 1089 2231
1 400 1184
1 674 738
2 1202 9
2 404 7
2 696 2
2 1397 2
1 412 2103
1 337 2114
1 1824 1873
1 546 643
2 1079 10
1 493 1931
2 921 4
1 1401 2202
2 1188 6
2 133 2
2 2167 7
1 433 2191
1 696 1503
2 1294 2
2 275 7
2 1916 7
2 1372 9
2 1676 10
2 1749 5
2 1298 8
2 386 6
1 968 2202
1 524 928
2 2204 10
1 1272 2082
1 1212 1366
2 1483 6
2 44 7
2 699 10
1 80 2061
2 1759 3
1 114 2188
2 2115 5
2 959 8
2 1769 1
1 1473 1685
1 1546 1653
1 243 406
1 1928 2159
1 1349 2017
1 1271 1977
2 845 6
2 1959 3
1 718 997
2 335 3
2 8 1
1 1763 1979
1 2184 2269
2 1127 6
2 385 10
1 412 1038
1 1073 1882
2 757 8
1 581 621
1 1630 1824
1 428 812
1 329 653
2 98 3
2 1398 2
1 368 2189
2 689 1
2 2008 10
1 414 1811
1 100 820
2 1692 2
1 69 1068
2 812 5
1 894 1373
2 1975 1
1 462 2178
2 754 1
2 2007 9
1 1190 1785
2 1028 5
1 1638 1679
2 1062 3
2 346 8
1 1151 1308
2 1233 4
1 1128 1697
2 649 3
1 864 1799
2 736 5
1 230 1062
1 13 588
1 257 1210
1 1358 2181
2 779 4
1 230 590
2 684 10
2 953 2
1 432 591
2 1598 5
2 1781 9
2 2052 10
1 1749 2033
2 629 3
2 1124 10
2 1819 2
2 906 7
2 1260 7
1 874 1867
2 839 1
1 1161 2036
1 152 1798
2 56 8
2 306 4
1 928 1770
1 435 1303
2 1488 9
2 698 1
1 194 981
2 1768 3
2 685 7
2 2094 6
1 749 2196
1 552 1294
2 2169 10
2 744 1
2 2066 8
1 282 2040
1 382 1415
2 2068 2
1 1320 1877
1 236 1829
1 803 1173
1 683 1036
1 548 1979
1 464 2267
1 866 2039
1 619 1418
1 1277 2064
2 868 3
1 1747 2194
2 1088 3
2 659 8
1 755 876
2 973 2
1 759 1410
1 817 971
2 859 3
1 1298 1989
2 1460 2
1 474 582
1 18 1496
1 2 644
1 566 1165
2 300 10
2 1035 7
2 283 4
1 353 1507
2 39 6
1 89 660
1 1822 2060
1 1607 2065
1 692 1616
1 416 2037
2 79 10
1 574 1969
2 588 5
1 454 1619
2 1736 7
2 137 10
2 1007 9
2 1013 5
2 1820 9
2 1473 2
2 2056 6
1 1674 1893
2 516 2
1 1730 1857
2 975 7
1 298 490
1 1471 2205
2 1360 6
1 513 2002
2 1458 4
2 303 3
1 447 1402
2 1993 3
2 680 1
2 2153 4
1 1826 1837
2 1775 6
2 1854 6
1 1245 2079
2 306 3
1 629 2079
1 745 926
1 779 2175
2 1597 5
2 237 8
1 444 1677
1 1519 2233
1 1925 2022
1 23 963
2 1085 6
1 420 484
2 1496 5
1 84 1988
2 1711 5
2 502 3
1 668 793
1 244 1764
1 1484 1732
1 1637 1978
2 1501 7
2 1071 8
2 2178 9
2 1704 7
1 255 2020
1 224 524
1 248 1811
2 164 8
1 668 1448
2 957 3
2 2180 3
1 1168 1518
2 2066 9
1 413 2014
1 350 953
2 850 5
1 1569 1578
1 198 346
1 13 517
2 1974 6
1 786 1249
1 242 782
1 913 1040
1 406 932
2 1778 8
1 1602 2140
2 1846 8
2 946 7
1 110 722
2 1133 10
1 1285 1812
1 883 1414
2 140 2
1 172 1649
1 714 1193
1 306 2056
1 147 1515
1 1612 2267
2 2068 2
1 326 1364
2 97 9
1 298 1675
1 143 873
2 320 5
1 567 808
1 185 1009
2 1413 7
1 36 345
2 835 10
2 1861 2
1 1200 1601
1 1406 1913
2 1499 7
1 797 1926
2 1423 8
2 1435 2
1 50 754
2 1585 5
1 301 2195
1 1174 2009
1 520 1092
1 676 1643
1 163 165
1 1422 1670
2 1889 10
1 799 1010
1 972 2037
2 863 7
1 128 1311
2 1427 6
2 467 2
2 501 7
1 531 702
2 1940 8
2 625 5
2 1714 4
1 1662 1746
1 732 1528
1 264 700
1 1143 1631
1 600 1735
1 728 1564
1 1098 2068
2 1597 1
2 1076 1
1 546 1755
2 1539 2
1 576 926
2 1877 9
2 17 3
2 1846 5
1 720 2171
2 1252 4
2 1706 3
2 1544 8
1 335 1853
1 1057 2087
1 868 956
2 278 6
2 756 3
2 1811 9
2 513 5
2 1885 2
1 452 1546
2 1250 3
1 1051 1084
1 560 1331
2 162 4
1 1554 2082
1 1267 1934
1 1262 1417
1 168 1649
2 1969 5
1 191 788
2 627 8
1 442 1299
2 413 4
2 832 7
2 913 1
2 2144 5
2 382 2
2 1392 8
2 1949 7
1 996 2101
1 457 854
1 1731 1793
2 291 5
2 1205 3
2 2119 9
2 1522 7
1 1160 1904
1 1295 1490
1 1839 1851
1 888 2016
1 1285 1359
2 659 10
1 1395 2154
2 177 3
1 918 1213
1 751 1923
2 1757 10
1 705 1612
1 727 1476
2 114 6
2 1436 7
2 1881 7
1 209 278
2 1181 6
2 2102 2
1 329 1488
2 939 7
1 622 1406
2 1719 7
2 2052 3
1 91 2188
1 1417 1454
2 1097 1
2 1522 8
1 529 680
1 1547 2259
1 1498 1842
1 8 15
2 834 9
2 883 6
1 1103 2124
2 1548 8
2 1275 2
1 1474 1790
1 1590 2259
2 1043 4
2 236 8
1 363 841
1 352 938
2 698 7
1 778 1473
2 2110 4
2 725 10
2 916 6
1 292 2140
1 929 1756
1 320 879
2 2004 3
1 280 1398
2 632 1
1 114 2141
2 1175 2
1 593 932
1 1959 2045
1 1564 2253
2 719 2
1 15 1030
1 1555 2037
1 292 647
1 1921 2042
2 2271 1
2 1845 4
1 410 786
1 318 1671
2 601 10
1 420 441
2 197 2
2 1425 4
1 408 1695
2 532 1
1 178 872
1 1791 2003
2 1827 3
1 1065 1803
2 1859 6
1 1826 2169
1 235 935
2 149 5
2 1593 9
2 1312 7
2 1913 5
2 524 3
2 620 3
2 543 10
1 1740 1921
1 122 2140
1 877 2233
2 244 7
2 470 9
2 1158 4
1 36 1894
2 2161 2
2 838 9
2 1239 4
2 200 7
2 1445 5
2 1651 9
1 802 2226
2 772 9
1 688 1567
1 1050 1631
1 818 862
2 473 7
1 888 1507
1 655 1353
1 1651 1711
2 1463 6
1 67 946
1 1011 2121
1 708 1909
2 934 4
1 194 270
2 331 10
1 62 1727
2 256 5
1 216 560
2 134 1
2 1091 3
2 2 8
1 1630 1755
1 1700 1740
2 284 1
2 1976 9
2 1860 2
1 1828 1943
1 119 1791
2 1839 7
2 585 7
1 1453 1790
1 1079 1760
2 855 6
2 2066 7
2 180 2
2 1758 10
2 518 2
1 1452 2159
1 1431 2088
1 408 663
1 693 1513
2 944 9
2 209 5
2 1575 6
2 2081 6
1 247 729
1 968 1041
2 2129 5
1 543 1531
2 803 7
1 563 1364
1 811 1810
1 1322 2044
1 528 944
1 872 1709
2 667 4
1 797 2108
1 388 566
1 1549 2041
2 1637 2
1 816 2148
2 1392 2
2 82 9
2 664 8
2 204 2
2 579 4
1 1298 1554
2 637 3
1 1796 2095
1 1036 2070
2 1272 1
2 1871 7
1 171 1763
2 660 10
1 72 862
2 1354 6
2 292 8
2 1444 3
1 319 2222
2 1905 7
2 793 8
1 262 1522
1 176 1689
1 1806 1979
1 1268 1912
2 1896 9
2 2238 7
2 87 8
1 319 815
2 786 2
2 1196 9
1 1057 2097
1 1124 1778
2 333 5
1 408 1721
1 685 1767
2 1749 3
2 1805 7
2 1329 5
1 286 1876
2 1931 1
2 83 7
1 324 1539
1 1022 2005
2 529 8
2 2039 9
1 107 843
2 749 1
2 187 3
1 50 502
2 150 5
2 1065 8
1 1412 1756
2 730 4
2 1745 7
2 1542 1
1 1585 2115
2 2078 2
2 1703 6
2 1168 10
2 1107 8
2 957 1
2 667 9
1 453 1247
2 1865 10
2 2055 3
1 1599 1993
1 514 1320
2 2070 4
1 672 1962
2 977 5
1 481 1371
1 772 1677
2 1362 9
1 764 2188
1 329 2053
1 831 1203
2 1596 8
2 715 5
2 2088 3
2 501 8
1 34 1522
1 595 815
2 416 1
2 217 7
2 1146 4
1 220 1195
2 2210 10
2 1622 7
2 907 1
2 746 6
1 67 745
1 261 955
2 2164 1
1 121 1605
2 827 10
2 185 2
1 1008 2012
1 2011 2077
2 124 8
2 409 9
2 1695 8
1 1099 2186
1 35 1849
2 152 7
1 924 1857
2 82 1
2 452 5
1 390 1162
1 386 1407
1 34 308
1 286 1044
2 1439 7
1 176 1013
1 282 2239
2 1498 1
1 938 2051
1 720 1533
2 1182 8
2 508 7
2 2114 10
2 600 7
2 509 5
2 1620 8
1 90 692
1 217 2246
1 56 794
2 1014 3
2 1174 9
2 649 9
2 1520 10
1 134 1518
1 618 1585
2 2119 8
2 2210 8
1 58 553
2 704 2
2 1790 1
1 270 803
1 1459 1677
2 1355 10
2 770 8
2 2094 4
2 1477 8
2 520 3
1 29 1843
2 2134 9
2 54 1
2 625 9
2 1548 1
1 177 463
2 167 9
1 1583 1932
1 604 2206
2 610 3
1 665 1354
2 1540 10
1 1854 2045
2 2205 9
2 776 5
1 978 2010
1 789 876
1 621 1957
2 1609 9
1 1059 1530
2 2031 9
2 496 2
1 551 843
1 385 1151
1 515 1203
2 1661 5
2 1130 2
2 1845 8
2 486 3
1 1441 1897
2 349 2
1 107 855
1 403 1078
2 719 2
2 1660 8
2 492 1
1 1201 1564
1 310 1074
1 566 1100
1 446 1549
1 146 1511
1 45 1627
2 929 9
2 2077 10
2 641 5
2 1873 4
2 1166 8
1 627 1900
1 183 371
1 184 1151
1 884 1054
2 1061 4
2 1178 6
1 78 2200
1 44 550
2 883 2
2 2027 10
1 206 1906
2 1315 8
2 2118 3
2 1945 4
1 924 1972
1 1335 1688
1 702 1939
2 50 10
1 1303 1646
2 612 9
1 312 403
1 1339 2045
1 478 741
2 1317 9
2 645 5
2 2245 4
2 1156 5
2 1736 7
1 1664 1918
2 1011 3
2 415 7
2 308 7
2 493 1
2 1211 1
1 2015 2036
2 374 3
2 806 5
2 1268 5
1 1280 1398
1 1158 1204
1 57 580
2 42 5
1 1135 2139
2 436 4
2 737 10
1 652 2126
1 62 1318
2 1069 2
2 157 3
2 1626 9
2 1502 4
2 1819 7
1 870 1769
1 2103 2209
2 1303 3
2 173 6
2 750 4
2 1566 8
2 1710 2
2 461 5
1 1513 2205
1 346 631
1 193 1433
2 1710 9
2 848 5
1 898 1285
1 454 531
1 71 961
1 166 1653
1 882 1534
2 2027 5
1 1659 1683
1 576 2031
2 1151 9
2 1745 7
2 867 3
2 121 7
2 1795 1
1 527 1928
1 782 1489
1 902 1708
1 47 1946
2 429 9
1 1415 1575
1 924 2010
1 722 2008
1 526 1029
1 174 882
2 742 6
2 28 2
1 797 1603
1 555 2048
2 289 6
1 189 652
2 2158 10
1 35 2168
2 1733 6
2 1343 6
1 653 1305
1 996 1637
1 649 2175
2 1964 8
1 1350 1954
2 2034 10
1 578 901
2 1308 2
2 971 7
2 36 5
1 105 416
2 1721 7
2 1041 1
1 911 1363
2 1757 6
1 215 1076
1 19 1236
1 508 789
1 968 1866
2 1578 4
2 1583 5
2 84 6
2 141 4
2 827 1
1 1193 1310
1 40 842
1 25 1556
2 1081 2
2 1571 10
2 304 9
2 689 5
2 318 7
2 161 1
2 231 5
1 2058 2267
1 808 979
1 485 1800
2 785 7
1 661 2205
2 1832 5
2 1898 10
2 2054 10
1 80 1132
1 7 107
1 1782 1882
2 546 5
2 1028 5
1 726 975
1 562 1111
2 1332 7
2 2012 6
2 1860 10
2 386 6
2 616 7
2 146 5
2 1872 1
2 1809 10
2 1817 1
1 2189 2247
1 401 903
1 576 1413
2 2070 4
2 212 7
1 1140 1894
2 533 7
2 1999 7
2 1836 5
1 212 1997
1 651 1148
2 919 8
2 907 2
1 577 1299
2 1903 6
1 208 1048
2 1926 5
1 1475 2136
2 675 8
2 1390 6
2 1212 5
1 448 752
2 1162 9
2 2002 3
2 1065 5
1 284 1815
1 1437 2062
2 374 5
2 1335 3
1 329 717
1 396 548
2 783 10
2 714 5
1 1647 2032
1 861 1683
2 751 2
1 991 1055
1 176 1225
2 994 8
1 498 2219
1 860 1249
1 824 1809
2 481 2
2 1200 7
2 608 3
2 826 4
1 1553 2127
2 2230 7
2 1112 10
1 1148 1900
2 1791 7
2 808 10
2 168 10
2 203 6
1 269 1267
1 1148 1514
1 121 1547
2 1917 10
2 1857 8
1 939 2077
1 217 1886
2 896 5
2 2108 7
1 555 1791
1 1574 2059
1 693 1697
2 1117 5
2 855 5
1 665 1429
1 101 245
2 1365 4
1 1612 1961
1 219 617
1 513 761
2 701 1
2 1366 1
1 1720 1990
2 1832 1
1 1663 1918
1 1399 2247
2 2074 6
2 539 10
1 1962 2078
2 239 10
1 247 846
1 330 434
2 1306 3
1 713 1489
1 99 898
1 159 1796
2 2081 5
2 686 1
1 806 1117
1 164 1723
1 1087 1300
1 1293 1632
1 743 774
1 1265 2244
2 1453 6
1 414 1194
2 1425 9
2 2022 4
2 92 1
1 163 1528
1 416 1582
2 319 8
2 925 1
2 1323 3
1 891 1071
2 671 1
1 1291 1990
2 1113 5
2 1501 3
2 683 7
1 1694 2213
2 1472 7
2 1873 1
1 1884 1910
1 679 846
2 2097 6
1 176 1156
2 2048 3
1 280 828
2 1653 8
1 914 1361
2 1940 8
2 1681 2
1 1258 1952
2 2153 3
1 666 1009
1 574 1371
1 1601 1820
2 1775 7
1 1255 1390
2 1847 4
1 1117 1555
1 819 2177
1 336 1527
2 1780 5
1 638 985
2 861 2
2 33 4
2 770 4
2 1499 8
1 813 2219
2 361 7
2 223 4
1 1638 2217
1 42 72
1 869 995
2 357 2
2 1467 1
2 368 1
1 467 1337
1 856 1849
2 1287 9
2 1248 10
2 503 3
1 1620 2057
2 445 3
2 2271 2
1 641 2183
1 327 1904
2 1443 2
1 344 412
1 826 1720
1 627 1251
1 881 2008
2 412 5
1 996 1041
1 860 1118
2 1374 2
2 1810 9
2 193 1
2 601 10
2 2265 4
1 1958 2039
2 582 3
1 188 1307
2 1387 7
1 354 1988
2 2017 7
2 286 8
2 1026 9
2 1061 2
1 1329 2060
2 1546 7
2 1581 1
2 1045 7
1 389 1692
2 2222 1
1 31 1510
2 1250 1
2 715 4
2 634 3
1 1694 2139
1 586 1571
2 478 6
2 951 1
1 1087 1464
2 1370 8
1 654 2037
2 1204 8
1 577 1354
1 650 1403
1 745 2229
2 964 3
2 218 8
2 1997 2
1 1851 2243
1 702 862
2 1430 2
1 32 2229
2 1408 7
2 484 4
1 1388 1896
2 1070 6
1 45 2260
1 63 1756
2 940 7
2 1433 2
1 292 710
1 680 1391
1 734 828
1 728 888
1 411 1781
1 36 663
1 32 1341
1 202 1354
2 827 9
2 1293 3
1 379 578
1 1269 2264
1 400 1453
1 1084 2080
2 307 2
1 853 1377
1 1371 2217
1 851 2016
1 882 1259
2 1164 9
1 853 1989
1 571 1372
1 793 2169
1 611 976
1 5 996
1 218 1595
1 641 1967
2 2228 6
2 1083 4
1 1537 1660
1 72 1081
2 2253 4
2 940 7
1 1257 1891
1 848 1579
2 2052 4
2 1124 7
1 55 278
2 1881 7
1 102 1096
1 694 959
2 103 7
1 1459 1717
2 2082 1
2 254 1
2 1510 1
2 2211 6
2 1588 8
1 129 1803
1 1026 2036
2 2009 6
2 1154 5
1 479 1870
2 1324 8
2 2 10
2 117 8
2 257 8
1 54 447
2 499 1
2 1264 8
1 698 1945
1 842 1676
1 1621 1667
2 1101 5
2 576 3
2 35 1
1 903 1326
2 902 10
1 679 2089
2 558 4
1 415 2094
2 997 5
1 1006 2010
1 181 1915
1 522 1476
1 80 563
1 1412 2070
2 1459 6
1 1230 1605
1 1015 1343
2 1220 4
1 507 922
2 775 9
2 2000 3
1 571 1243
1 189 625
2 1734 8
2 973 9
1 1200 1385
1 1213 1454
2 1520 2
1 540 1457
1 132 388
2 305 4
2 731 6
2 975 5
1 97 1983
2 810 8
1 1190 1710
1 1657 2268
1 206 2144
2 899 10
1 233 859
2 1459 9
1 140 1690
2 1609 8
1 125 1959
1 364 750
2 1244 5
1 17 303
2 542 10
1 221 2087
1 418 1086
2 2229 9
1 483 1535
2 1405 7
2 1934 4
2 1110 6
1 2185 2201
1 895 1665
1 768 789
2 299 5
1 1420 1440
1 1328 1468
1 741 1210
2 822 8
1 763 1194
2 1028 3
2 1544 3
2 1714 2
2 1044 2
2 657 3
2 1645 4
2 2237 3
2 1111 2
2 1483 8
2 1082 2
2 689 6
1 483 2008
2 1105 2
1 79 710
2 1673 1
1 108 2096
2 1700 7
1 206 1232
2 1991 1
2 1142 9
2 72 6
2 1289 5
1 116 1324
1 193 1197
1 1968 2240
2 109 8
1 496 1591
1 1037 1344
2 485 3
1 1678 1765
2 1656 6
2 1100 4
1 648 1231
2 199 9
2 1581 7
1 1350 1755
1 1107 1720
1 164 730
1 248 1909
2 2130 7
1 33 2151
1 1324 2267
1 724 2274
1 82 2126
1 432 1254
1 446 892
1 1651 1925
1 672 2057
2 1486 4
1 1826 2187
2 332 8
2 487 6
2 341 4
1 1035 1157
2 1819 5
1 1456 1813
2 1346 7
1 508 1992
2 1254 3
1 1782 2045
2 1356 6
2 2117 4
2 1490 5
1 584 2192
2 595 2
1 167 1684
2 1985 10
1 1194 1656
1 488 811
2 315 6
1 1165 1428
2 1243 2
2 1206 6
2 234 5
2 28 1
2 361 2
2 165 8
1 488 1606
1 324 790
1 870 1505
1 402 1584
1 336 1718
2 1066 1
2 1703 2
1 63 816
1 93 994
2 1288 6
2 1126 1
1 159 1998
1 150 190
2 1128 4
1 808 1927
1 1652 2275
2 1283 4
2 360 8
1 1881 2268
1 321 1071
2 1638 1
1 221 760
2 1102 10
1 29 83
1 141 2218
2 1077 6
1 336 960
2 2262 8
1 414 1031
2 258 3
2 281 4
2 427 4
1 239 546
1 19 1568
1 1738 2222
2 183 8
2 1826 1
2 287 7
1 851 1071
1 233 1779
2 129 1
1 1146 1694
2 505 9
1 759 1413
2 1071 10
1 720 887
2 58 1
2 735 7
1 337 932
1 94 676
1 546 2183
2 1968 2
1 246 585
2 367 6
1 802 962
2 1700 4
1 1521 2007
2 1318 5
1 1560 1573
1 730 2102
1 529 1509
1 1025 1329
1 1117 2121
2 779 5
1 982 1297
1 568 1216
1 839 1518
1 250 2008
2 2266 4
2 1828 4
1 446 1014
2 29 6
1 668 1230
1 58 121
2 2094 9
1 1337 1421
1 714 1342
2 1342 5
2 644 6
2 2215 9
1 114 1606
2 1102 2
2 2024 7
1 1410 1722
2 1309 10
1 1006 2062
2 1476 6
1 2178 2245
2 1004 4
1 1127 1633
1 1299 1441
1 1171 2045
2 1561 2
1 37 1573
2 1736 3
2 575 10
2 166 9
1 205 1425
2 1098 5
1 437 2133
1 28 261
1 1231 2269
1 72 816
1 2162 2215
2 682 1
1 1414 2142
1 211 1910
2 585 8
1 1812 2214
1 1687 1712
2 1076 6
1 583 1871
1 766 2108
1 592 1845
1 52 248
2 1147 10
2 1399 3
1 1100 1486
2 729 10
1 1333 2231
2 464 1
1 542 777
1 1510 2240
1 615 1596
1 661 706
2 1036 7
2 1260 10
1 297 567
2 1613 9
1 524 2247
2 1569 9
2 813 10
1 320 1193
2 1276 9
2 1892 10
1 721 2036
1 410 497
2 9 9
2 1851 5
2 1845 2
